"Intook Time","Intook Pose X","Intook Pose Y","Intook Pose θ","Shot Time","Shot X","Shot Y","Shot θ","Autonomous/Teleop","Speaker/Amp","Pivot Intended Position","Pivot Actual Position","Left Shooter RPM","Right Shooter RPM","Match Number","Alliance"
"PRELOAD","PRELOAD","PRELOAD","PRELOAD","14","15.004646958227866","5.548339527166302","3.1362716577318146","Autonomous","Speaker","32.165915417115194","32.17298889160156","419.2356262207031","546.156494140625","2","Red"
"13","13.193444921756972","5.577811726409163","-3.1024761434987096","13","12.782588255703116","5.658786839181355","-3.083541068148246","Autonomous","Speaker","17.74841989226738","18.189163208007812","607.5570068359375","1002.3663330078125","2","Red"
"133","7.723507352523311","3.189188887556947","-1.7112532167000247","129","11.742033098475952","7.256119317377891","2.8803176466891918","Teleop","Speaker","14.112340349712383","14.1044921875","1342.21923828125","1539.808349609375","2","Red"
"125","13.391757913501422","8.010900857293167","-0.07768702418624299","124","14.00800398248951","7.584224863962434","-0.9082417470270748","Teleop","Speaker","9.943411978738684","9.915313720703125","1932.7957763671875","2697.9072265625","2","Red"
"124","15.283815400702341","6.270789107874382","-1.4778061531501565","123","15.258055083425775","5.812411376239182","-1.499012764798424","Teleop","Speaker","29.5","29.440704345703125","1937.591796875","1394.2669677734375","2","Red"
"123","14.74433106080139","5.384005716671226","-1.4535660101828864","120","14.752818560142021","7.628741079219175","-1.495855626241419","Teleop","Amp","26","25.901214599609375","1331.133544921875","1471.587158203125","2","Red"
"117","14.159709989149324","4.878199056600145","-1.9899005735745463","114","14.754066165913782","7.410386338990528","-1.5714143968769279","Teleop","Amp","26","25.856719970703125","1283.2030029296875","1296.233642578125","2","Red"
"111","14.692360487093891","7.439471659195413","1.4721622910949674","109","14.64436635917153","7.955048288002371","-1.6478700370858685","Teleop","Amp","26","25.86676025390625","1279.066162109375","1237.85302734375","2","Red"
"106","14.535199122967407","4.478758669948215","-1.112926583127396","102","14.701057610028661","7.496275125661822","-1.5390964721581881","Teleop","Amp","26","25.866348266601562","1312.3233642578125","1221.98828125","2","Red"
"99","13.647355970662666","4.826182901270471","-2.3630023618542704","94","13.911478566272653","5.58038882349544","3.070320507821112","Teleop","Speaker","23.075877840771415","23.406936645507812","1720.959716796875","1106.316650390625","2","Red"
"87","12.047387599272888","5.640875235877164","2.9511594925191513","85","12.970496212870437","5.908336427546657","3.005588626060849","Teleop","Speaker","17.64394524426457","18.1484375","2080.567138671875","1561.8594970703125","2","Red"
"81","14.32602900973803","5.29264311140823","-0.9516949008697517","78","13.958040016967297","5.597897542314798","3.0656480641585135","Teleop","Speaker","23.64193782974593","26.127090454101562","2011.385986328125","1254.928955078125","2","Red"
"76","14.494697289018863","5.922872978003744","0.16275618438924658","73","14.364720742147819","5.765944034483699","2.982198658224567","Teleop","Speaker","26.38279024288606","28.932754516601562","2079.47119140625","1289.2166748046875","2","Red"
"66","4.261633503946141","4.551393464319505","3.0078531003563835","58","14.995151079910329","7.6189222051213745","-1.6272373092886185","Teleop","Amp","26","26.033889770507812","1400.3983154296875","1424.6075439453125","2","Red"
"56","12.834356240525175","6.1373603091259215","-3.10298557143001","51","14.758084786803048","7.94785405487986","-1.5504503050271616","Teleop","Amp","26","26.042266845703125","1495.972900390625","1534.8553466796875","2","Red"
"45","0.5569598820266553","8.087407459839637","-3.1396949681742137","39","12.681448149589622","5.844975260233349","2.9877950114996845","Teleop","Speaker","16.18349689360214","19.6396484375","2567.556884765625","1524.482421875","2","Red"
"36","7.076558636473019","4.329814091556755","-1.3004144423265063","32","12.318282767004135","5.639260811205347","2.914197772389293","Teleop","Speaker","15.4306715220039","17.213577270507812","2485.193603515625","1726.1678466796875","2","Red"
"29","9.05206510149256","6.95413722557895","2.0356765986859764","27","12.840301707627956","6.062547015959653","2.943938533537","Teleop","Speaker","17.080231493972477","18.588302612304688","2229.561279296875","1515.503662109375","2","Red"
"24","14.738629406620687","5.332986418242629","-0.5842543172538638","22","14.512047648368055","5.353675582881615","-3.119297415974579","Teleop","Speaker","27.443829952347574","28.637130737304688","2336.44921875","1255.933349609375","2","Red"
"14","3.6872518160168","1.1143888071479933","-1.7489175260735401","9","14.40353418574433","4.900770160985563","-2.9284036857931683","Teleop","Speaker","26.30026211501131","27.958984375","2306.6591796875","1282.5321044921875","2","Red"
"6","14.896647414402473","1.0832868845786392","-0.9694808736608576","3","13.700281555629386","5.28988123346859","-3.070896609655726","Teleop","Speaker","21.010309194608283","22.2744140625","2090.210205078125","1584.0452880859375","2","Red"
