"Intook Time","Intook Pose X","Intook Pose Y","Intook Pose θ","Shot Time","Shot X","Shot Y","Shot θ","Autonomous/Teleop","Speaker/Amp","Pivot Intended Position","Pivot Actual Position","Left Shooter RPM","Right Shooter RPM","Match Number","Alliance","Battery Voltage"
"PRELOAD","PRELOAD","PRELOAD","PRELOAD","15","0.7255768974005656","4.418771111842096","-1.0468140559996264","Autonomous","Speaker","29.5","29.527191162109375","565.1824340820312","495.1995544433594","27","Blue","10.83967431640625"
"15","0.7880064592741592","4.3863221590086","-1.043170851628398","15","0.9691476612833235","4.299475766826946","-1.0271599271548415","Autonomous","Speaker","29.5","29.584671020507812","769.9427490234375","668.8724365234375","27","Blue","10.36220654296875"
"8","3.199924387217024","2.840826948914653","-0.5973576851491333","8","3.232498297120974","2.8246381639123097","-0.5917490678934265","Autonomous","Speaker","15.794104589292287","16.027481079101562","3286.3046875","2312.309326171875","27","Blue","9.733959472656249"
"5","7.616091903996477","2.1161702365601505","-0.34281274815935997","2","3.3553406461914053","2.9927740715690514","-0.8537242243245211","Autonomous","Speaker","15.195865394113214","15.383926391601562","3452.1826171875","2575.48291015625","27","Blue","8.364380859375"
"133","4.972380671877176","2.774037213439838","-1.3257640551797083","130","5.62482931342182","7.103479910192079","-0.29294122852717813","Teleop","Speaker","13.887760367294888","13.726699829101562","3381.103759765625","2356.36962890625","27","Blue","8.954933105468749"
"125","13.610735711496158","5.792063205361476","0.13951421273463827","122","7.501413512007231","6.776671081257773","-0.03802077450642529","Teleop","Speaker","9.133654632161461","8.640472412109375","3984.427001953125","3178.454345703125","27","Blue","8.439770507812499"
"110","14.837999559097232","0.6118448156714977","-1.115917420064041","106","3.4077095849808194","5.774174967342488","0.08737806054327273","Teleop","Speaker","18.236339949709418","17.794921875","3323.936767578125","2350.4501953125","27","Blue","9.83447900390625"
"99","13.894951039119755","6.095890571825446","-0.24094696167447535","92","4.103047135869252","6.553083285966073","0.29533047318193856","Teleop","Speaker","15.470945970838958","15.005157470703125","3539.085693359375","2671.83544921875","27","Blue","7.04506201171875"
"82","15.198562417240122","1.0098176894295587","-1.1314892841841822","76","2.3616450889769376","6.107907150400413","0.30165254260629354","Teleop","Speaker","24.395432671060732","23.774124145507812","3326.45849609375","2376.56884765625","27","Blue","8.52772509765625"
"73","1.3340437721019587","6.623340672108597","-2.817516361571859","71","2.440577974116549","5.721934026378295","0.09471336388085348","Teleop","Speaker","24.329526402276514","23.477386474609375","3037.661865234375","2054.78466796875","27","Blue","9.250209228515624"
"61","14.64087163820286","0.6597892400873754","-0.8395272702757542","55","2.9906896140040184","6.867987975797922","0.40982427484663003","Teleop","Speaker","18.948608474914998","18.526779174804688","3398.50927734375","2421.857421875","27","Blue","7.50996484375"
"48","11.287649458568415","6.64497165920372","0.2256298780159446","44","2.938591720240524","6.8970985191416725","0.4658216122634655","Teleop","Speaker","18.642898449344116","18.491058349609375","3484.44580078125","2504.10302734375","27","Blue","8.52772509765625"
"43","1.9871342636400808","7.049609069140626","-3.1162871081632173","41","3.208654899815984","6.352092080298716","0.28960124461445064","Teleop","Speaker","18.584911188965688","17.781936645507812","3265.322265625","2283.635009765625","27","Blue","9.03032275390625"
"34","13.63416258166423","2.69571155742828","-0.6835262499212914","28","2.9138876894955263","5.396412450654107","-0.038325077996529275","Teleop","Speaker","20.281141161027175","20.126251220703125","3402.261474609375","2426.59326171875","27","Blue","7.560224609375"
"18","13.952713137280906","0.41625961038069426","-0.4301746261015229","13","3.2659629621215562","5.272479993331757","-0.057580722219604134","Teleop","Speaker","18.654915416041028","18.345138549804688","3288.05078125","2424.85888671875","27","Blue","8.144494384765625"
